,Ch_2,Ch_3,Ch_2_t,Ch_3_t,timestamp
0,-0.6207,-915.2509,1.0,1.0,2022-07-07 11:09:08.190494
1,-0.6552,-1701.1493,1.99,1.99,2022-07-07 11:09:09.186666
2,-0.5862,-1697.9931,2.99,2.99,2022-07-07 11:09:10.186622
3,-0.6207,3447.2748,3.99,4.0,2022-07-07 11:09:11.187039
4,-0.5862,-2088.9434,4.99,4.99,2022-07-07 11:09:12.186120
5,-0.6207,-2804.1426,6.0,6.0,2022-07-07 11:09:13.189195
6,-0.5517,2287.8904,7.0,7.0,2022-07-07 11:09:14.188352
7,-0.5862,1804.3577,8.0,8.0,2022-07-07 11:09:15.188255
8,-0.6897,2138.4961,8.99,8.99,2022-07-07 11:09:16.186337
9,-0.5862,-2711.1394,10.0,10.0,2022-07-07 11:09:17.189365
10,-0.6897,2742.1755,11.0,11.0,2022-07-07 11:09:18.189299
11,-0.6552,1517.3522,12.0,12.0,2022-07-07 11:09:19.188737
12,-0.6897,-2859.9025,12.99,13.0,2022-07-07 11:09:20.187256
13,-0.6552,3447.2748,14.0,14.0,2022-07-07 11:09:21.189440
14,-0.6207,321.3557,15.0,15.0,2022-07-07 11:09:22.187868
15,-0.5862,498.7352,16.0,16.0,2022-07-07 11:09:23.190187
16,-0.6552,-2447.7003,17.0,17.0,2022-07-07 11:09:24.190862
17,-0.5517,3447.2748,17.99,17.99,2022-07-07 11:09:25.186708
18,-0.5862,-2906.8249,19.0,19.0,2022-07-07 11:09:26.190784
19,-0.5517,41.0834,19.99,19.99,2022-07-07 11:09:27.186814
20,-0.7241,2180.7894,20.99,20.99,2022-07-07 11:09:28.186238
21,-0.5517,-2212.8776,21.99,21.99,2022-07-07 11:09:29.186665
22,-0.6552,-482.0072,22.99,22.99,2022-07-07 11:09:30.187042
23,-0.6207,2209.4058,24.0,24.0,2022-07-07 11:09:31.188448
24,-0.6207,-1971.9529,24.99,25.0,2022-07-07 11:09:32.187502
25,-0.6207,2771.844,26.0,26.0,2022-07-07 11:09:33.188490
26,-0.5862,-2324.6078,26.99,26.99,2022-07-07 11:09:34.186290
27,-0.6897,2912.4009,27.99,27.99,2022-07-07 11:09:35.186833
28,-0.6552,-1616.7731,29.0,29.0,2022-07-07 11:09:36.188198
29,-0.7241,1473.586,29.99,29.99,2022-07-07 11:09:37.186416
30,-0.6897,1767.3247,30.99,30.99,2022-07-07 11:09:38.187173
31,-0.7586,-2291.1518,32.0,32.0,2022-07-07 11:09:39.190496
32,-0.5862,3120.2905,33.0,33.0,2022-07-07 11:09:40.188934
33,-0.6207,-2106.6182,33.99,33.99,2022-07-07 11:09:41.186538
34,-0.5862,-650.9701,35.0,35.0,2022-07-07 11:09:42.188601
35,-0.5172,-1783.4214,36.0,36.0,2022-07-07 11:09:43.189533
36,-0.7241,-2300.4101,37.0,37.0,2022-07-07 11:09:44.188627
37,-0.6207,-2818.6612,38.0,38.0,2022-07-07 11:09:45.188118
38,-0.6552,-2972.6847,38.99,38.99,2022-07-07 11:09:46.187400
39,-0.5862,-2803.5114,39.99,39.99,2022-07-07 11:09:47.186828
40,-0.7586,2280.7363,40.99,40.99,2022-07-07 11:09:48.187428
41,-0.5517,355.6533,42.0,42.0,2022-07-07 11:09:49.187921
42,-0.6897,2380.052,42.99,42.99,2022-07-07 11:09:50.186251
43,-0.5862,2366.1646,43.99,43.99,2022-07-07 11:09:51.187761
44,-0.6207,1582.5807,45.0,45.0,2022-07-07 11:09:52.187060
